basin_id,latitude,longitude,length_km_river,perc_agricul,perc_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff,is_sk,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,utm_east_z33,utm_north_z33
83X12X0,61.36569,6.23159,32.86,1.46,0.97,5.26,8.76,8.76,16.54,58.38,0.0,205.55,297.0,1635.0,378.0,563.0,704.0,836.0,937.0,1034.0,1133.0,1255.0,1387.0,92.93000000000002,,0.0,389.536666666667,698.3893939393939,6.68445357231765,0.552597351666377,9.34204545454545,-5.80606518817204,32209.0,6835027.0
83X6X0,61.34341,6.34683,19.38,0.0,0.0,1.66,9.57,0.0,6.699999999999999,80.35000000000001,0.0,104.54,485.0,1502.0,692.0,773.0,893.0,954.0,1014.0,1075.0,1123.0,1183.0,1254.0,101.71,,0.0,373.545151515152,716.715757575758,6.82079661438885,0.53001547077887,8.9070652173913,-6.27939516129032,38001.0,6831738.0
83X7X0,61.44324,6.46896,14.51,0.0,0.43,2.16,4.95,31.230000000000004,3.21,58.78,0.0,65.65,520.0,1635.0,762.0,892.0,983.0,1085.0,1184.0,1277.0,1357.0,1434.0,1505.0,119.39,,0.0,431.064545454545,769.633333333333,7.57371338478135,0.545789299586347,7.89032279314888,-7.57326612903226,45951.0,6841930.0
84X20X0,61.43177,6.06488,14.31,2.74,0.74,4.94,5.96,0.0,32.88,51.04,0.0,71.48,131.0,1425.0,203.0,374.0,512.0,602.0,674.0,756.0,826.0,899.0,1010.0,75.1,,0.0,376.370909090909,670.698787878788,6.24726578707161,0.531930391725577,10.7991007905138,-3.90300067204301,24363.0,6843550.0
85X4X0,61.6484,5.44487,19.41,0.91,0.91,2.42,5.47,3.65,24.62,51.06,0.0,109.68,6.0,1383.0,124.0,274.0,388.0,499.0,586.0,650.0,720.0,822.0,1009.0,119.88,,0.0,575.181212121212,1087.59848484848,9.96525516554643,0.576254798385401,11.2315283267457,-2.6240053763440905,-4935.0,6872190.0
86X10X0,61.71941,5.9213,31.65,0.62,3.7,1.47,5.55,0.62,19.12,64.15,0.0,162.13,27.0,1465.0,392.0,484.0,554.0,632.0,697.0,777.0,859.0,945.0,1077.0,79.94,,0.0,481.4284848484851,862.193636363636,7.8851539291345105,0.542049713375688,10.5441930171278,-4.0321438172043,21226.0,6876428.0
86X12X0,61.81564,5.93555,5.83,0.0,0.32,1.1,3.75,17.02,14.760000000000002,59.25,0.0,23.66,291.0,1465.0,417.0,620.0,781.0,915.0,1042.0,1117.0,1170.0,1229.0,1328.0,118.64,,0.0,357.60787878787903,761.800303030303,6.94918181063812,0.5232892626429,8.92408102766799,-6.03966733870968,23471.0,6886968.0
87X10X0,61.7186,6.52064,32.11,3.06,0.34,0.26,1.22,16.54,17.54,52.92,0.0,218.6,138.0,1823.0,331.0,568.0,757.0,906.0,1045.0,1157.0,1274.0,1405.0,1558.0,79.37,,0.0,371.8978787878791,666.751212121212,6.41817193593893,0.519219117835955,8.77785243741766,-6.66005376344086,52688.0,6872059.0
88X11X0,61.9306,6.87882,41.68,1.46,0.04,4.83,6.24,17.54,14.71,53.74,0.02,482.04,29.0,1933.0,195.0,548.0,795.0,987.0,1129.0,1250.0,1377.0,1497.0,1594.0,60.07,,0.0,285.92696969697,505.84,5.04753215500788,0.515896253707133,8.68031291172596,-6.97529569892473,74466.0,6893124.0
88X15X0,61.96764,7.25823,11.24,0.0,0.0,2.14,7.26,8.31,3.43,79.29,0.0,34.37,594.0,1663.0,910.0,1055.0,1146.0,1186.0,1253.0,1323.0,1384.0,1443.0,1519.0,70.68,,0.0,257.192424242424,458.838181818182,4.63505103310929,0.480275268465187,7.3503557312253,-8.5998689516129,94769.0,6894794.0
